company_name,scheme,award_date,project_summary,url,website,city
Shasunmed Lifesciences Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Shree Veerabhadreshwara Solutions LLP,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Tealaa Innovations Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Vitacrop Technologies Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Acceleron Labs Pvt. Ltd.,DST NIDHI-PRAYAS,2019,"Currently Edge computing is done using PC, laptops, mobile and small devices. These devices do not have the capability to enhance the edge computing capability as it does not have the ability to increase the computing power required at Edge and Edge Data Centre. A hyper Converged Infrastructure for SME Segment and Miniature Data center for SME can be developed to address this problem. Acceleron La Domain: Information Technology.",https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.acceleronlabs.com,Bangalore
Adiuvo Diagnostics Pvt. Ltd.,DST NIDHI-PRAYAS,2017,"Portable reagent-less screening device to detect Mycobacterium tuberculosis by leveraging the autofluorescence of the bacteria. The invention is aiming at a device, which is reagent less, portable to detect the biomolecule with specific intrinsic fluorescence characteristic, of the M.Tuberculosis which can identify the mycobacterium directly from the sputum sample rapidly specially in low resource Domain: MedTech.",https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.adiuvodiagnostics.com,Chennai
Amplify Cleantech Solutions Pvt. Ltd.,DST NIDHI-PRAYAS,2020,"Enabling smart & sustainable EV charging solutions that fit into existing city infrastructure. EVRE’s IntelliPole is a smart street light for the cities of tomorrow. IntelliPole enables street lighting through a solar- powered LED, provides local air quality, is capable of digital advertising, is integrated with smart cameras to perform traffic analytics, can transmit emergency audio messages and Domain: Electric mobility.",https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.evre.in,Bangalore
Aran Tecnovation Pvt. Ltd.,DST NIDHI-PRAYAS,2018,"Use of technology to avoid carrying the keys, real time unauthorized & tampering alerts, security logs, and made the technology possible to make in India for mass production by the Hardware manufactures at competitive rates. Aran application aid user to manage fingerprints configures Wi-Fi credentials and other lock settings. User can set and change impact alert contacts to receive impact alert em Domain: Consumer tech.",https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.arantec.app,Coimbatore
Ashva Wearable Technologies Pvt. Ltd.,DST NIDHI-PRAYAS,2018,"95% of knee pain and osteoarthritis problems can be resolved in early stages with physiotherapy and avert knee replacement surgeries. While most knee pain complications are diagnosed in the early stages, 80% patients ignore their treatment due to lack of awareness. Solving the problem of lack of awareness and thereby compliance to physiotherapy by knee pain patients with a data driven knee assessm Domain: Medtech.",https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.ashvaweartech.com,Bangalore
Astrome Technologies Pvt. Ltd.,DST NIDHI-PRAYAS,2019,About 50% of the world’s population is not connected to internet. The unconnected primarily reside in rural areas where fibre is too expensive to deploy. There is a need for alternate technology to complement fibre such that cost of internet delivery can be made economical. One of the way to solve this problem is high-throughput wireless backhaul and satellite communications. Developed the world’s Domain: Telecommunication - 5G.,https://dst.gov.in/sites/default/files/75-Promising%20Startups%20under%20NIDHI-PRAYAS.pdf,https://www.astrome.co,Bangalore
